name,priceUI,reviewCount,urlUI
1963 木十豆寸,$101-200,138,/zh/hongkong/r-1963-%E6%9C%A8%E5%8D%81%E8%B1%86%E5%AF%B8-%E7%81%A3%E4%BB%94-%E5%8F%B0%E7%81%A3%E8%8F%9C-r487324
汀汀烤活魚,$51-100,124,/zh/hongkong/r-%E6%B1%80%E6%B1%80%E7%83%A4%E6%B4%BB%E9%AD%9A-%E6%97%BA%E8%A7%92-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r432942
一鍋堂,$101-200,106,/zh/hongkong/r-%E4%B8%80%E9%8D%8B%E5%A0%82-%E8%8D%83%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r463132
清真牛肉館,$51-100,732,/zh/hongkong/r-%E6%B8%85%E7%9C%9F%E7%89%9B%E8%82%89%E9%A4%A8-%E4%B9%9D%E9%BE%8D%E5%9F%8E-%E6%96%B0%E7%96%86%E8%8F%9C-r1441
坤記煲仔小菜,$51-100,242,/zh/hongkong/r-%E5%9D%A4%E8%A8%98%E7%85%B2%E4%BB%94%E5%B0%8F%E8%8F%9C-%E8%A5%BF%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r13356
李公館,$201-400,204,/zh/hongkong/r-%E6%9D%8E%E5%85%AC%E9%A4%A8-%E7%81%A3%E4%BB%94-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r49281
請坐,$101-200,64,/zh/hongkong/r-%E8%AB%8B%E5%9D%90-%E8%A5%BF%E7%92%B0-%E5%8F%B0%E7%81%A3%E8%8F%9C-r510263
餃餃餃子,$51-100,115,/zh/hongkong/r-%E9%A4%83%E9%A4%83%E9%A4%83%E5%AD%90-%E7%B4%85%E7%A3%A1-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E9%9B%B2%E5%90%9E-%E9%A4%83%E5%AD%90-r494592
米走雞Live,$101-200,111,/zh/hongkong/r-%E7%B1%B3%E8%B5%B0%E9%9B%9Elive-%E8%A7%80%E5%A1%98-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E9%9B%9E%E7%85%B2-r529029
明記潮館,$101-200,105,/zh/hongkong/r-%E6%98%8E%E8%A8%98%E6%BD%AE%E9%A4%A8-%E6%97%BA%E8%A7%92-%E6%BD%AE%E5%B7%9E%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r528339
明閣,$401-800,295,/zh/hongkong/r-%E6%98%8E%E9%96%A3-%E6%97%BA%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-fine-dining-r12120
海記合桃坊甜品,$50以下,264,/zh/hongkong/r-%E6%B5%B7%E8%A8%98%E5%90%88%E6%A1%83%E5%9D%8A%E7%94%9C%E5%93%81-%E5%A4%AA%E5%AD%90-%E6%B8%AF%E5%BC%8F-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r23673
有口福,$51-100,96,/zh/hongkong/r-%E6%9C%89%E5%8F%A3%E7%A6%8F-%E4%B9%9D%E9%BE%8D%E5%9F%8E-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r79688
唐宮小聚,$101-200,127,/zh/hongkong/r-%E5%94%90%E5%AE%AE%E5%B0%8F%E8%81%9A-%E5%B0%96%E6%B2%99%E5%92%80-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r515530
甜入心,$50以下,117,/zh/hongkong/r-%E7%94%9C%E5%85%A5%E5%BF%83-%E6%B2%99%E7%94%B0-%E6%B8%AF%E5%BC%8F-all-day-breakfast-r488338
龍麵館,$201-400,126,/zh/hongkong/r-%E9%BE%8D%E9%BA%B5%E9%A4%A8-%E4%B8%AD%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%87%92%E8%87%98-r511716
一糖,$51-100,142,/zh/hongkong/r-%E4%B8%80%E7%B3%96-%E5%A4%A9%E6%B0%B4%E5%9C%8D-%E6%B8%AF%E5%BC%8F-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r509981
鼎泰豐,$101-200,721,/zh/hongkong/r-%E9%BC%8E%E6%B3%B0%E8%B1%90-%E5%B0%96%E6%B2%99%E5%92%80-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E9%BB%9E%E5%BF%83-r21002
潮福蒸氣石鍋,$201-400,118,/zh/hongkong/r-%E6%BD%AE%E7%A6%8F%E8%92%B8%E6%B0%A3%E7%9F%B3%E9%8D%8B-%E5%B0%96%E6%B2%99%E5%92%80-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r460317
尚鮮火鍋海鮮料理,$201-400,106,/zh/hongkong/r-%E5%B0%9A%E9%AE%AE%E7%81%AB%E9%8D%8B%E6%B5%B7%E9%AE%AE%E6%96%99%E7%90%86-%E4%BD%90%E6%95%A6-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r125734
常樂素食,$101-200,86,/zh/hongkong/r-%E5%B8%B8%E6%A8%82%E7%B4%A0%E9%A3%9F-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E7%B4%A0%E9%A3%9F-r432082
叉燒大王,$51-100,163,/zh/hongkong/r-%E5%8F%89%E7%87%92%E5%A4%A7%E7%8E%8B-%E6%B2%99%E7%94%B0-%E6%B8%AF%E5%BC%8F-r11513
妹記大排檔,$51-100,93,/zh/hongkong/r-%E5%A6%B9%E8%A8%98%E5%A4%A7%E6%8E%92%E6%AA%94-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-r452063
莆田,$101-200,103,/zh/hongkong/r-%E8%8E%86%E7%94%B0-%E8%8D%83%E7%81%A3-%E9%96%A9%E8%8F%9C-%E7%A6%8F%E5%BB%BA-%E6%B5%B7%E9%AE%AE-r449048
